,All Blood Samples†,Capillary† Samples,,Venous Samples,,,,,,
48864,203,0,‐,0,‐,0,‐,0,0,‐
48865,34,*,*,*,*,0,‐,0,0,‐
48866,66,*,*,*,*,0,‐,0,0,‐
48867,742,37,5,26,3.5,11,1.5,*,*,*
48870,1,0,‐,0,‐,0,‐,0,0,‐
48871,17,0,‐,0,‐,0,‐,0,0,‐
48872,130,*,*,0,‐,*,*,*,0,‐
48873,8,0,‐,0,‐,0,‐,0,0,‐
48874,2,0,‐,0,‐,0,‐,0,0,‐
48875,116,*,*,0,‐,*,*,*,*,*
48876,71,*,*,*,*,0,‐,0,0,‐
48877,20,0,‐,0,‐,0,‐,0,0,‐
48878,16,0,‐,0,‐,0,‐,0,0,‐
48879,185,0,‐,0,‐,0,‐,0,0,‐
48880,90,*,*,*,*,*,*,*,0,‐
48881,69,*,*,0,‐,*,*,*,0,‐
48882,2,0,‐,0,‐,0,‐,0,0,‐
48883,76,*,*,*,*,0,‐,0,0,‐
48884,63,*,*,*,*,*,*,*,0,‐
48885,16,0,‐,0,‐,0,‐,0,0,‐
48886,24,0,‐,0,‐,0,‐,0,0,‐
48888,91,0,‐,0,‐,0,‐,0,0,‐
48889,14,0,‐,0,‐,0,‐,0,0,‐
48890,33,*,*,0,‐,*,*,*,0,‐
48891,43,*,*,*,*,0,‐,0,0,‐
48892,66,0,‐,0,‐,0,‐,0,0,‐
48893,62,0,‐,0,‐,0,‐,0,0,‐
48894,29,0,‐,0,‐,0,‐,0,0,‐
48895,90,0,‐,0,‐,0,‐,0,0,‐
48896,2,0,‐,0,‐,0,‐,0,0,‐
48897,8,0,‐,0,‐,0,‐,0,0,‐
48901,1,0,‐,0,‐,0,‐,0,0,‐
48905,1,0,‐,0,‐,0,‐,0,0,‐
48906,670,19,2.8,12,1.8,7,1,*,*,*
48909,21,0,‐,0,‐,0,‐,0,0,‐
48910,790,21,2.7,6,0.8,15,1.9,*,*,*
48911,"1,223",31,2.5,12,1,19,1.6,*,*,*
48912,321,22,6.9,9,2.8,13,4,13,0,‐
48915,274,13,4.7,*,*,8,2.9,*,*,*
48917,399,16,4,*,*,11,2.8,*,*,*
48933,43,0,‐,0,‐,0,‐,0,0,‐
49001,501,40,8,28,5.6,12,2.4,*,*,*
49002,245,*,*,*,*,*,*,*,0,‐
49003,4,*,*,*,*,0,‐,0,0,‐
49004,223,*,*,*,*,*,*,*,*,*
49006,326,*,*,*,*,0,‐,0,0,‐
49007,249,37,14.9,22,8.8,15,6,*,*,*
49008,224,*,*,*,*,*,*,*,*,*
49009,517,7,1.4,6,1.2,*,*,*,0,‐
49010,343,12,3.5,6,1.7,6,1.7,*,*,*
49011,31,0,‐,0,‐,0,‐,0,0,‐
49012,39,*,*,*,*,0,‐,0,0,‐
49013,80,*,*,*,*,*,*,*,0,‐
49014,418,34,8.1,10,2.4,24,5.7,*,*,*
49015,593,29,4.9,14,2.4,15,2.5,*,*,*
49016,7,0,‐,0,‐,0,‐,0,0,‐
49017,371,33,8.9,16,4.3,17,4.6,*,*,*
49019,3,0,‐,0,‐,0,‐,0,0,‐
49021,75,*,*,0,‐,*,*,*,*,*
49022,822,36,4.4,23,2.8,13,1.6,*,*,*
49023,4,0,‐,0,‐,0,‐,0,0,‐
49024,383,*,*,*,*,*,*,*,0,‐
49026,31,*,*,*,*,0,‐,0,0,‐
49028,99,*,*,*,*,0,‐,0,0,‐
49029,16,*,*,*,*,0,‐,0,0,‐
49030,36,0,‐,0,‐,0,‐,0,0,‐
49031,69,*,*,*,*,0,‐,0,0,‐
49032,37,0,‐,0,‐,0,‐,0,0,‐
49033,23,0,‐,0,‐,0,‐,0,0,‐
49034,34,0,‐,0,‐,0,‐,0,0,‐
49036,371,15,4,6,1.6,9,2.4,*,*,*
49037,701,37,5.3,16,2.3,21,3,21,0,‐
49038,98,0,‐,0,‐,0,‐,0,0,‐
49040,23,*,*,*,*,0,‐,0,0,‐
49041,1,0,‐,0,‐,0,‐,0,0,‐
49042,88,*,*,*,*,*,*,*,*,*
49043,43,*,*,0,‐,*,*,*,0,‐
49045,97,*,*,*,*,0,‐,0,0,‐
49046,44,*,*,*,*,0,‐,0,0,‐
49047,299,18,6,11,3.7,7,2.3,*,*,*
49048,555,23,4.1,14,2.5,9,1.6,*,*,*
49050,20,0,‐,0,‐,0,‐,0,0,‐
49051,17,0,‐,0,‐,0,‐,0,0,‐
49052,7,0,‐,0,‐,0,‐,0,0,‐
49053,107,*,*,0,‐,*,*,*,0,‐
49055,79,*,*,*,*,0,‐,0,0,‐
49056,90,6,6.7,*,*,*,*,*,0,‐
49057,137,*,*,*,*,0,‐,0,0,‐
49058,148,*,*,*,*,*,*,*,0,‐
49060,17,*,*,0,‐,*,*,*,0,‐
49061,20,*,*,*,*,0,‐,0,0,‐
49063,2,0,‐,0,‐,0,‐,0,0,‐
49064,52,*,*,*,*,*,*,*,0,‐
49065,76,*,*,*,*,*,*,*,0,‐
49066,11,*,*,*,*,0,‐,0,0,‐
49067,42,0,‐,0,‐,0,‐,0,0,‐
49068,183,7,3.8,*,*,6,3.3,*,0,‐
49070,38,*,*,0,‐,*,*,*,0,‐
49071,82,0,‐,0,‐,0,‐,0,0,‐
49072,36,*,*,*,*,*,*,*,*,*
49073,48,*,*,*,*,*,*,*,*,*
49075,1,0,‐,0,‐,0,‐,0,0,‐
49076,42,*,*,0,‐,*,*,*,0,‐
49078,139,*,*,*,*,*,*,*,0,‐
49079,140,*,*,0,‐,*,*,*,0,‐
49080,233,*,*,*,*,*,*,*,0,‐
49081,2,0,‐,0,‐,0,‐,0,0,‐
49082,82,*,*,0,‐,*,*,*,0,‐
49083,71,*,*,*,*,0,‐,0,0,‐
49085,110,*,*,0,‐,*,*,*,0,‐
49087,45,0,‐,0,‐,0,‐,0,0,‐
49088,32,0,‐,0,‐,0,‐,0,0,‐
49089,26,*,*,*,*,*,*,*,0,‐
49090,123,6,4.9,*,*,*,*,*,0,‐
49091,347,24,6.9,21,6.1,*,*,*,*,*
49092,16,0,‐,0,‐,0,‐,0,0,‐
49093,377,30,8,22,5.8,8,2.1,*,*,*
49094,56,*,*,*,*,0,‐,0,0,‐
49095,16,*,*,0,‐,*,*,*,0,‐
49096,27,*,*,*,*,0,‐,0,0,‐
49097,118,*,*,*,*,0,‐,0,0,‐
49098,63,*,*,*,*,*,*,*,0,‐
49099,95,*,*,*,*,0,‐,0,0,‐
49101,29,0,‐,0,‐,0,‐,0,0,‐
49102,12,0,‐,0,‐,0,‐,0,0,‐
49103,140,0,‐,0,‐,0,‐,0,0,‐
49106,30,*,*,0,‐,*,*,*,0,‐
49107,122,*,*,*,*,*,*,*,0,‐
49111,46,0,‐,0,‐,0,‐,0,0,‐
49112,75,*,*,*,*,*,*,*,0,‐
49113,22,0,‐,0,‐,0,‐,0,0,‐
49115,1,0,‐,0,‐,0,‐,0,0,‐
49117,25,0,‐,0,‐,0,‐,0,0,‐
49119,3,0,‐,0,‐,0,‐,0,0,‐
49120,579,24,4.1,10,1.7,14,2.4,*,*,*
49125,17,0,‐,0,‐,0,‐,0,0,‐
49126,23,0,‐,0,‐,0,‐,0,0,‐
49127,72,*,*,*,*,0,‐,0,0,‐
49128,31,*,*,0,‐,*,*,*,*,*
49130,17,0,‐,0,‐,0,‐,0,0,‐
49131,1,0,‐,0,‐,0,‐,0,0,‐
49154,1,0,‐,0,‐,0,‐,0,0,‐
49195,2,0,‐,0,‐,0,‐,0,0,‐
49201,734,39,5.3,24,3.3,15,2,*,*,*
49202,534,40,7.5,28,5.2,12,2.2,*,*,*
49203,946,105,11.1,62,6.6,43,4.5,*,*,*
49204,5,0,‐,0,‐,0,‐,0,0,‐
49205,1,0,‐,0,‐,0,‐,0,0,‐
49210,1,*,*,*,*,0,‐,0,0,‐
49220,38,0,‐,0,‐,0,‐,0,0,‐
49221,560,47,8.4,19,3.4,28,5,*,*,*
49224,273,29,10.6,14,5.1,15,5.5,*,*,*
49227,23,*,*,0,‐,*,*,*,0,‐
49228,58,0,‐,0,‐,0,‐,0,0,‐
49229,38,*,*,0,‐,*,*,*,*,*
49230,105,*,*,*,*,0,‐,0,0,‐
49232,61,*,*,*,*,*,*,*,0,‐
49233,28,*,*,*,*,0,‐,0,0,‐
49234,25,*,*,*,*,0,‐,0,0,‐
49235,26,*,*,*,*,*,*,*,0,‐
49236,43,0,‐,0,‐,0,‐,0,0,‐
49237,45,*,*,*,*,*,*,*,0,‐
49238,25,*,*,0,‐,*,*,*,0,‐
49239,1,0,‐,0,‐,0,‐,0,0,‐
49240,85,*,*,*,*,0,‐,0,0,‐
49241,30,*,*,*,*,0,‐,0,0,‐
49242,335,16,4.8,14,4.2,*,*,*,0,‐
49245,58,*,*,*,*,*,*,*,0,‐
49246,30,0,‐,0,‐,0,‐,0,0,‐
49247,102,8,7.8,0,‐,8,7.8,*,*,*
49248,2,0,‐,0,‐,0,‐,0,0,‐
49249,42,*,*,0,‐,*,*,*,0,‐
49250,128,10,7.8,8,6.3,*,*,*,0,‐
49251,100,*,*,0,‐,*,*,*,0,‐
49252,45,*,*,*,*,0,‐,0,0,‐
49253,37,*,*,*,*,*,*,*,0,‐
49254,43,0,‐,0,‐,0,‐,0,0,‐
49255,26,*,*,*,*,0,‐,0,0,‐
49256,34,*,*,*,*,0,‐,0,0,‐
49258,6,0,‐,0,‐,0,‐,0,0,‐
49259,40,*,*,*,*,*,*,*,0,‐
49261,7,*,*,*,*,*,*,*,0,‐
49262,24,0,‐,0,‐,0,‐,0,0,‐
49263,2,0,‐,0,‐,0,‐,0,0,‐
49264,29,*,*,0,‐,*,*,*,*,*
49265,38,0,‐,0,‐,0,‐,0,0,‐
49266,54,*,*,*,*,*,*,*,0,‐
49267,22,0,‐,0,‐,0,‐,0,0,‐
49268,13,*,*,0,‐,*,*,*,0,‐
49269,95,*,*,*,*,0,‐,0,0,‐
49270,56,*,*,0,‐,*,*,*,0,‐
49271,46,*,*,0,‐,*,*,*,*,*
49272,37,*,*,*,*,0,‐,0,0,‐
49274,58,*,*,0,‐,*,*,*,0,‐
49276,4,*,*,*,*,*,*,*,0,‐
49277,42,6,14.3,*,*,*,*,*,0,‐
49279,9,*,*,0,‐,*,*,*,0,‐
49282,5,0,‐,0,‐,0,‐,0,0,‐
49283,44,*,*,*,*,0,‐,0,0,‐
49284,42,*,*,*,*,0,‐,0,0,‐
49285,71,*,*,*,*,0,‐,0,0,‐
49286,120,*,*,*,*,*,*,*,*,*
49287,13,*,*,0,‐,*,*,*,0,‐
49288,33,*,*,*,*,0,‐,0,0,‐
49289,4,*,*,0,‐,*,*,*,0,‐
49301,149,*,*,0,‐,*,*,*,0,‐
49302,53,*,*,*,*,0,‐,0,0,‐
49303,17,0,‐,0,‐,0,‐,0,0,‐
49304,46,*,*,*,*,0,‐,0,0,‐
49305,21,0,‐,0,‐,0,‐,0,0,‐
49306,48,0,‐,0,‐,0,‐,0,0,‐
49307,180,6,3.3,*,*,*,*,*,*,*
49309,12,0,‐,0,‐,0,‐,0,0,‐
49310,28,0,‐,0,‐,0,‐,0,0,‐
49312,2,0,‐,0,‐,0,‐,0,0,‐
49315,113,0,‐,0,‐,0,‐,0,0,‐
49316,152,*,*,0,‐,*,*,*,0,‐
49318,29,*,*,*,*,0,‐,0,0,‐
49319,177,*,*,*,*,0,‐,0,0,‐
49320,3,0,‐,0,‐,0,‐,0,0,‐
49321,276,6,2.2,*,*,*,*,*,0,‐
49322,5,0,‐,0,‐,0,‐,0,0,‐
49323,50,0,‐,0,‐,0,‐,0,0,‐
49325,23,*,*,*,*,0,‐,0,0,‐
49326,36,0,‐,0,‐,0,‐,0,0,‐
49327,101,7,6.9,6,5.9,*,*,*,0,‐
49328,44,0,‐,0,‐,0,‐,0,0,‐
49329,118,0,‐,0,‐,0,‐,0,0,‐
49330,99,*,*,*,*,0,‐,0,0,‐
49331,158,*,*,*,*,0,‐,0,0,‐
49332,18,0,‐,0,‐,0,‐,0,0,‐
49333,82,*,*,*,*,*,*,*,0,‐
49336,34,*,*,*,*,0,‐,0,0,‐
49337,102,0,‐,0,‐,0,‐,0,0,‐
49338,18,0,‐,0,‐,0,‐,0,0,‐
49339,17,0,‐,0,‐,0,‐,0,0,‐
49340,35,0,‐,0,‐,0,‐,0,0,‐
49341,250,6,2.4,*,*,*,*,*,0,‐
49342,21,0,‐,0,‐,0,‐,0,0,‐
49343,46,0,‐,0,‐,0,‐,0,0,‐
49344,35,*,*,*,*,0,‐,0,0,‐
49345,197,9,4.6,8,4.1,*,*,*,0,‐
49346,42,0,‐,0,‐,0,‐,0,0,‐
49347,19,0,‐,0,‐,0,‐,0,0,‐
49348,114,*,*,*,*,*,*,*,0,‐
49349,91,*,*,0,‐,*,*,*,0,‐
49354,1,0,‐,0,‐,0,‐,0,0,‐
49357,1,0,‐,0,‐,0,‐,0,0,‐
49401,80,*,*,*,*,*,*,*,0,‐
49402,11,*,*,*,*,0,‐,0,0,‐
49403,48,*,*,*,*,0,‐,0,0,‐
49404,114,*,*,*,*,0,‐,0,0,‐
49405,32,0,‐,0,‐,0,‐,0,0,‐
49406,3,0,‐,0,‐,0,‐,0,0,‐
49408,146,*,*,*,*,*,*,*,*,*
49410,36,*,*,*,*,0,‐,0,0,‐
49411,35,*,*,*,*,0,‐,0,0,‐
49412,105,*,*,0,‐,*,*,*,0,‐
49415,62,*,*,*,*,0,‐,0,0,‐
49416,2,0,‐,0,‐,0,‐,0,0,‐
49417,455,*,*,*,*,0,‐,0,0,‐
49418,248,*,*,*,*,0,‐,0,0,‐
49419,114,*,*,0,‐,*,*,*,0,‐
49420,164,7,4.3,7,4.3,0,‐,0,0,‐
49421,73,*,*,*,*,*,*,*,0,‐
49423,731,26,3.6,17,2.3,9,1.2,9,0,‐
49424,691,8,1.2,7,1,*,*,*,0,‐
49425,42,0,‐,0,‐,0,‐,0,0,‐
49426,209,*,*,*,*,*,*,*,0,‐
49428,168,*,*,0,‐,*,*,*,0,‐
49431,294,14,4.8,12,4.1,*,*,*,0,‐
49434,2,0,‐,0,‐,0,‐,0,0,‐
49435,26,0,‐,0,‐,0,‐,0,0,‐
49436,29,0,‐,0,‐,0,‐,0,0,‐
49437,57,*,*,*,*,*,*,*,0,‐
49440,9,0,‐,0,‐,0,‐,0,0,‐
49441,506,36,7.1,20,4,16,3.2,*,*,*
49442,801,73,9.1,38,4.7,35,4.4,29,6,0.7
49443,3,0,‐,0,‐,0,‐,0,0,‐
49444,519,27,5.2,17,3.3,10,1.9,*,*,*
49445,222,*,*,*,*,*,*,*,0,‐
49446,31,0,‐,0,‐,0,‐,0,0,‐
49448,61,*,*,*,*,0,‐,0,0,‐
49449,24,*,*,0,‐,*,*,*,0,‐
49450,90,*,*,*,*,0,‐,0,0,‐
49451,78,*,*,*,*,*,*,*,0,‐
49452,31,0,‐,0,‐,0,‐,0,0,‐
49453,23,*,*,*,*,0,‐,0,0,‐
49454,86,*,*,*,*,0,‐,0,0,‐
49455,127,*,*,0,‐,*,*,*,0,‐
49456,243,*,*,*,*,*,*,*,*,*
49457,161,*,*,*,*,*,*,*,0,‐
49459,16,*,*,*,*,0,‐,0,0,‐
49460,89,*,*,*,*,0,‐,0,0,‐
49461,92,*,*,*,*,*,*,*,0,‐
49464,328,6,1.8,*,*,*,*,*,*,*
49481,1,0,‐,0,‐,0,‐,0,0,‐
49500,2,*,*,*,*,0,‐,0,0,‐
49501,3,0,‐,0,‐,0,‐,0,0,‐
49502,1,0,‐,0,‐,0,‐,0,0,‐
49503,885,92,10.4,56,6.3,36,4.1,*,*,*
49504,786,99,12.6,59,7.5,40,5.1,33,7,0.9
49505,586,42,7.2,26,4.4,16,2.7,16,0,‐
49506,506,44,8.7,27,5.3,17,3.4,*,*,*
49507,"1,349",207,15.3,133,9.9,74,5.5,63,11,0.8
49508,853,28,3.3,24,2.8,*,*,*,0,‐
49509,679,21,3.1,18,2.7,*,*,*,*,*
49512,275,*,*,*,*,0,‐,0,0,‐
49513,1,0,‐,0,‐,0,‐,0,0,‐
49514,1,0,‐,0,‐,0,‐,0,0,‐
49515,2,0,‐,0,‐,0,‐,0,0,‐
49516,1,0,‐,0,‐,0,‐,0,0,‐
49518,2,0,‐,0,‐,0,‐,0,0,‐
49519,439,11,2.5,9,2.1,*,*,*,0,‐
49525,264,*,*,*,*,*,*,*,0,‐
49534,194,*,*,*,*,*,*,*,*,*
49544,165,*,*,*,*,*,*,*,0,‐
49546,362,*,*,*,*,*,*,*,0,‐
49548,710,14,2,11,1.5,*,*,*,0,‐
49550,1,0,‐,0,‐,0,‐,0,0,‐
49601,191,*,*,*,*,*,*,*,*,*
49607,1,0,‐,0,‐,0,‐,0,0,‐
49611,9,*,*,*,*,0,‐,0,0,‐
49612,14,0,‐,0,‐,0,‐,0,0,‐
49613,7,0,‐,0,‐,0,‐,0,0,‐
49614,39,*,*,*,*,0,‐,0,0,‐
49615,53,0,‐,0,‐,0,‐,0,0,‐
49616,44,*,*,*,*,0,‐,0,0,‐
49617,46,*,*,*,*,*,*,*,0,‐
49618,8,0,‐,0,‐,0,‐,0,0,‐
49619,18,0,‐,0,‐,0,‐,0,0,‐
49620,64,*,*,0,‐,*,*,*,0,‐
49621,28,0,‐,0,‐,0,‐,0,0,‐
49622,35,*,*,*,*,0,‐,0,0,‐
49623,11,0,‐,0,‐,0,‐,0,0,‐
49625,22,0,‐,0,‐,0,‐,0,0,‐
49626,2,0,‐,0,‐,0,‐,0,0,‐
49627,1,0,‐,0,‐,0,‐,0,0,‐
49628,8,*,*,*,*,0,‐,0,0,‐
49629,16,0,‐,0,‐,0,‐,0,0,‐
49630,13,*,*,0,‐,*,*,*,0,‐
49631,83,*,*,*,*,*,*,*,0,‐
49632,8,0,‐,0,‐,0,‐,0,0,‐
49633,66,*,*,*,*,0,‐,0,0,‐
49634,3,0,‐,0,‐,0,‐,0,0,‐
49635,38,0,‐,0,‐,0,‐,0,0,‐
49636,3,0,‐,0,‐,0,‐,0,0,‐
49637,51,0,‐,0,‐,0,‐,0,0,‐
49638,5,0,‐,0,‐,0,‐,0,0,‐
49639,24,*,*,*,*,0,‐,0,0,‐
49640,19,0,‐,0,‐,0,‐,0,0,‐
49642,6,0,‐,0,‐,0,‐,0,0,‐
49643,101,*,*,*,*,*,*,*,0,‐
49644,12,0,‐,0,‐,0,‐,0,0,‐
49645,27,*,*,*,*,*,*,*,0,‐
49646,106,*,*,*,*,*,*,*,0,‐
49648,17,0,‐,0,‐,0,‐,0,0,‐
49649,112,*,*,*,*,0,‐,0,0,‐
49650,69,*,*,*,*,0,‐,0,0,‐
49651,64,0,‐,0,‐,0,‐,0,0,‐
49653,32,*,*,*,*,0,‐,0,0,‐
49654,3,0,‐,0,‐,0,‐,0,0,‐
49655,35,*,*,*,*,*,*,*,0,‐
49656,15,0,‐,0,‐,0,‐,0,0,‐
49657,29,0,‐,0,‐,0,‐,0,0,‐
49659,115,*,*,*,*,0,‐,0,0,‐
49660,200,12,6,8,4,*,*,*,0,‐
49663,52,*,*,0,‐,*,*,*,0,‐
49664,24,*,*,0,‐,*,*,*,0,‐
49665,54,*,*,0,‐,*,*,*,0,‐
49666,4,0,‐,0,‐,0,‐,0,0,‐
49667,5,0,‐,0,‐,0,‐,0,0,‐
49668,59,*,*,*,*,0,‐,0,0,‐
49670,20,*,*,*,*,0,‐,0,0,‐
49674,4,*,*,*,*,0,‐,0,0,‐
49675,4,0,‐,0,‐,0,‐,0,0,‐
49676,59,*,*,*,*,*,*,*,0,‐
49677,110,0,‐,0,‐,0,‐,0,0,‐
49679,11,0,‐,0,‐,0,‐,0,0,‐
49680,30,0,‐,0,‐,0,‐,0,0,‐
49682,67,*,*,*,*,0,‐,0,0,‐
49683,28,*,*,*,*,0,‐,0,0,‐
49684,517,10,1.9,8,1.5,*,*,*,*,*
49685,169,*,*,*,*,0,‐,0,0,‐
49686,440,8,1.8,6,1.4,*,*,*,0,‐
49688,32,*,*,*,*,0,‐,0,0,‐
49689,14,0,‐,0,‐,0,‐,0,0,‐
49690,78,0,‐,0,‐,0,‐,0,0,‐
49696,47,0,‐,0,‐,0,‐,0,0,‐
49701,6,0,‐,0,‐,0,‐,0,0,‐
49705,9,0,‐,0,‐,0,‐,0,0,‐
49706,62,0,‐,0,‐,0,‐,0,0,‐
49707,271,*,*,*,*,*,*,*,*,*
49709,24,0,‐,0,‐,0,‐,0,0,‐
49710,2,0,‐,0,‐,0,‐,0,0,‐
49712,75,0,‐,0,‐,0,‐,0,0,‐
49713,15,0,‐,0,‐,0,‐,0,0,‐
49714,1,0,‐,0,‐,0,‐,0,0,‐
49715,28,*,*,0,‐,*,*,*,0,‐
49716,5,0,‐,0,‐,0,‐,0,0,‐
49718,5,0,‐,0,‐,0,‐,0,0,‐
49719,13,0,‐,0,‐,0,‐,0,0,‐
49720,106,0,‐,0,‐,0,‐,0,0,‐
49721,173,0,‐,0,‐,0,‐,0,0,‐
49722,3,0,‐,0,‐,0,‐,0,0,‐
49724,14,0,‐,0,‐,0,‐,0,0,‐
49725,1,0,‐,0,‐,0,‐,0,0,‐
49726,2,0,‐,0,‐,0,‐,0,0,‐
49727,123,*,*,*,*,0,‐,0,0,‐
49728,7,0,‐,0,‐,0,‐,0,0,‐
49729,18,0,‐,0,‐,0,‐,0,0,‐
49730,36,0,‐,0,‐,0,‐,0,0,‐
49733,19,0,‐,0,‐,0,‐,0,0,‐
49734,6,0,‐,0,‐,0,‐,0,0,‐
49735,313,*,*,0,‐,*,*,*,0,‐
49736,4,0,‐,0,‐,0,‐,0,0,‐
49738,117,*,*,*,*,0,‐,0,0,‐
49740,53,0,‐,0,‐,0,‐,0,0,‐
49743,1,0,‐,0,‐,0,‐,0,0,‐
49744,7,0,‐,0,‐,0,‐,0,0,‐
49745,14,*,*,*,*,0,‐,0,0,‐
49746,29,*,*,*,*,0,‐,0,0,‐
49747,13,0,‐,0,‐,0,‐,0,0,‐
49749,25,0,‐,0,‐,0,‐,0,0,‐
49751,30,0,‐,0,‐,0,‐,0,0,‐
49752,2,0,‐,0,‐,0,‐,0,0,‐
49753,23,0,‐,0,‐,0,‐,0,0,‐
49755,29,0,‐,0,‐,0,‐,0,0,‐
49756,35,0,‐,0,‐,0,‐,0,0,‐
49757,4,0,‐,0,‐,0,‐,0,0,‐
49759,10,0,‐,0,‐,0,‐,0,0,‐
49760,3,0,‐,0,‐,0,‐,0,0,‐
49762,5,0,‐,0,‐,0,‐,0,0,‐
49764,5,*,*,*,*,0,‐,0,0,‐
49765,38,0,‐,0,‐,0,‐,0,0,‐
49766,29,*,*,*,*,0,‐,0,0,‐
49768,1,0,‐,0,‐,0,‐,0,0,‐
49769,24,*,*,0,‐,*,*,*,0,‐
49770,159,0,‐,0,‐,0,‐,0,0,‐
49774,17,*,*,*,*,*,*,*,0,‐
49776,7,0,‐,0,‐,0,‐,0,0,‐
49777,7,0,‐,0,‐,0,‐,0,0,‐
49779,46,*,*,*,*,0,‐,0,0,‐
49780,14,0,‐,0,‐,0,‐,0,0,‐
49781,55,*,*,*,*,0,‐,0,0,‐
49782,1,0,‐,0,‐,0,‐,0,0,‐
49783,199,*,*,*,*,0,‐,0,0,‐
49788,58,*,*,*,*,*,*,*,0,‐
49792,1,0,‐,0,‐,0,‐,0,0,‐
49795,34,0,‐,0,‐,0,‐,0,0,‐
49796,2,0,‐,0,‐,0,‐,0,0,‐
49799,23,0,‐,0,‐,0,‐,0,0,‐
49801,102,*,*,*,*,*,*,*,0,‐
49802,70,0,‐,0,‐,0,‐,0,0,‐
49803,1,*,*,0,‐,*,*,*,0,‐
49805,9,0,‐,0,‐,0,‐,0,0,‐
49807,22,*,*,*,*,0,‐,0,0,‐
49808,1,0,‐,0,‐,0,‐,0,0,‐
49809,1,0,‐,0,‐,0,‐,0,0,‐
49810,1,*,*,*,*,0,‐,0,0,‐
49812,6,0,‐,0,‐,0,‐,0,0,‐
49814,10,0,‐,0,‐,0,‐,0,0,‐
49815,3,0,‐,0,‐,0,‐,0,0,‐
49816,6,0,‐,0,‐,0,‐,0,0,‐
49817,2,0,‐,0,‐,0,‐,0,0,‐
49818,6,0,‐,0,‐,0,‐,0,0,‐
49820,5,0,‐,0,‐,0,‐,0,0,‐
49821,9,0,‐,0,‐,0,‐,0,0,‐
49822,2,0,‐,0,‐,0,‐,0,0,‐
49825,3,0,‐,0,‐,0,‐,0,0,‐
49827,4,0,‐,0,‐,0,‐,0,0,‐
49829,257,10,3.9,6,2.3,*,*,*,0,‐
49831,4,0,‐,0,‐,0,‐,0,0,‐
49833,1,0,‐,0,‐,0,‐,0,0,‐
49835,3,0,‐,0,‐,0,‐,0,0,‐
49836,5,0,‐,0,‐,0,‐,0,0,‐
49837,95,*,*,0,‐,*,*,*,0,‐
49838,2,0,‐,0,‐,0,‐,0,0,‐
49839,1,0,‐,0,‐,0,‐,0,0,‐
49840,8,0,‐,0,‐,0,‐,0,0,‐
49841,96,0,‐,0,‐,0,‐,0,0,‐
49845,1,0,‐,0,‐,0,‐,0,0,‐
49847,12,0,‐,0,‐,0,‐,0,0,‐
49848,2,0,‐,0,‐,0,‐,0,0,‐
49849,112,*,*,0,‐,*,*,*,0,‐
49852,1,0,‐,0,‐,0,‐,0,0,‐
49853,8,0,‐,0,‐,0,‐,0,0,‐
49854,70,*,*,*,*,0,‐,0,0,‐
49855,229,*,*,*,*,*,*,*,0,‐
49858,141,8,5.7,*,*,*,*,*,*,*
49861,4,0,‐,0,‐,0,‐,0,0,‐
49862,35,0,‐,0,‐,0,‐,0,0,‐
49866,49,*,*,0,‐,*,*,*,0,‐
49868,68,*,*,*,*,0,‐,0,0,‐
49870,33,*,*,0,‐,*,*,*,0,‐
49871,3,0,‐,0,‐,0,‐,0,0,‐
49872,4,0,‐,0,‐,0,‐,0,0,‐
49874,9,0,‐,0,‐,0,‐,0,0,‐
49876,10,0,‐,0,‐,0,‐,0,0,‐
49877,1,0,‐,0,‐,0,‐,0,0,‐
49878,24,*,*,*,*,0,‐,0,0,‐
49879,6,0,‐,0,‐,0,‐,0,0,‐
49880,5,0,‐,0,‐,0,‐,0,0,‐
49881,1,0,‐,0,‐,0,‐,0,0,‐
49884,8,0,‐,0,‐,0,‐,0,0,‐
49885,18,*,*,*,*,0,‐,0,0,‐
49886,7,0,‐,0,‐,0,‐,0,0,‐
49887,20,0,‐,0,‐,0,‐,0,0,‐
49891,4,0,‐,0,‐,0,‐,0,0,‐
49892,16,*,*,*,*,0,‐,0,0,‐
49893,10,0,‐,0,‐,0,‐,0,0,‐
49894,8,0,‐,0,‐,0,‐,0,0,‐
49895,4,0,‐,0,‐,0,‐,0,0,‐
49896,32,0,‐,0,‐,0,‐,0,0,‐
49901,4,0,‐,0,‐,0,‐,0,0,‐
49903,4,*,*,*,*,*,*,*,0,‐
49905,41,*,*,*,*,0,‐,0,0,‐
49908,52,*,*,*,*,0,‐,0,0,‐
49910,2,0,‐,0,‐,0,‐,0,0,‐
49911,26,*,*,0,‐,*,*,*,0,‐
49912,5,0,‐,0,‐,0,‐,0,0,‐
49913,122,11,9,*,*,9,7.4,9,0,‐
49915,12,0,‐,0,‐,0,‐,0,0,‐
49916,50,0,‐,0,‐,0,‐,0,0,‐
49917,5,0,‐,0,‐,0,‐,0,0,‐
49918,3,0,‐,0,‐,0,‐,0,0,‐
49920,22,0,‐,0,‐,0,‐,0,0,‐
49921,6,0,‐,0,‐,0,‐,0,0,‐
49922,17,*,*,*,*,0,‐,0,0,‐
49927,6,0,‐,0,‐,0,‐,0,0,‐
49930,132,*,*,*,*,*,*,*,0,‐
49931,115,*,*,0,‐,*,*,*,0,‐
49934,11,0,‐,0,‐,0,‐,0,0,‐
49935,63,0,‐,0,‐,0,‐,0,0,‐
